# x0=40, y0=-20, x1=40, y1=-56.3, x2=40, y2=-63.8
# time  ux_r0  uy_r0  ux_r1  uy_r1  ux_r2  uy_r2
0 0 0 0 0 0 0
8.33e-06 0 0 0 0 0 0
1.666e-05 0 0 0 0 0 0
2.499e-05 0 0 0 0 0 0
3.332e-05 0 0 0 0 0 0
4.165e-05 0 0 0 0 0 0
4.998e-05 0 0 0 0 0 0
0.00132447 1.4196e-40 1.64575e-52 -5.47159e-80 4.13313e-85 -4.22182e-89 -1.01714e-92
0.0013328 1.72114e-40 2.13336e-52 -6.71727e-80 5.2147e-85 -3.89608e-89 -1.14396e-92
0.00134113 2.0346e-40 2.64044e-52 -8.07931e-80 6.35847e-85 -3.05743e-89 -1.20252e-92
0.00134946 2.35315e-40 3.15118e-52 -9.51331e-80 7.47617e-85 -1.49403e-89 -1.14019e-92
0.00135779 2.66844e-40 3.64639e-52 -1.09483e-79 8.43262e-85 1.06011e-89 -8.85728e-93
0.00136612 2.97057e-40 4.10366e-52 -1.22795e-79 9.03414e-85 4.93191e-89 -3.4651e-93
0.00137445 3.24811e-40 4.49755e-52 -1.33597e-79 9.01658e-85 1.05146e-88 5.93583e-93
0.00138278 3.48811e-40 4.80021e-52 -1.39908e-79 8.03426e-85 1.82703e-88 2.07463e-92
0.00139111 3.67618e-40 4.98168e-52 -1.3914e-79 5.65111e-85 2.87289e-88 4.25864e-92
0.00139944 3.79669e-40 5.01093e-52 -1.28002e-79 1.33624e-85 4.24798e-88 7.3237e-92
0.00140777 3.83289e-40 4.85659e-52 -1.02416e-79 -5.53356e-85 6.0156e-88 1.14528e-91
0.0014161 3.76726e-40 4.48849e-52 -5.74447e-80 -1.5661e-84 8.24059e-88 1.68156e-91
0.00142443 3.58183e-40 3.87883e-52 1.27554e-80 -2.98012e-84 1.0985e-87 2.35404e-91
0.00143276 3.25861e-40 3.00369e-52 1.1493e-79 -4.8716e-84 1.43015e-87 3.16757e-91
